metal_product,diameter,side_size,width,thickness,mark_number
"Труба бесшовная (SMLS) с фаской на концах DN 3/4"" Sch XS (26.7x3.91) CS BE ASME B36.10 ASTM A106 Gr.B",26.7,,,3.91,
"Труба бесшовная (SMLS) с фаской на концах DN 1"" Sch XS (33.4x4.55) CS BE ASME B36.10 ASTM A106 Gr.B",33.4,,,4.55,
"Труба бесшовная (SMLS) с фаской на концах DN 1 1/2"" Sch XS (48.3x5.08) CS BE ASME B36.10 ASTM A106 Gr.B",48.3,,,5.08,
"Труба бесшовная (SMLS) с фаской на концах DN 2"" Sch XS (60.3x5.54) CS BE ASME B36.10 ASTM A106 Gr.B",60.3,,,5.54,
"Труба бесшовная (SMLS) с фаской на концах DN 3"" Sch XS (88.9х7.62) CS BE ASME B36.10 ASTM A106 Gr.B",88.9,,,7.62,
"Труба бесшовная (SMLS) с фаской на концах DN 4"" Sch XS (114.3х8.56) CS BE ASME B36.10 ASTM A106 Gr.B",114.3,,,8.56,
"Труба бесшовная (SMLS) с фаской на концах DN 6"" Sch XS (168.3х10.97) CS BE ASME B36.10 ASTM A106 Gr.B",168.3,,,10.97,
"Труба бесшовная (SMLS) с фаской на концах DN 12"" Sch XS (323.8х12.70) CS BE ASME B36.10 ASTM A106 Gr.B",323.8,,,12.7,
"Труба бесшовная (SMLS) с фаской на концах DN 14"" Sch XS (355.6х12.70) CS BE ASME B36.10 ASTM A106 Gr.B",355.6,,,12.7,
"Труба бесшовная (SMLS) с фаской на концах DN 16"" Sch XS (406.4х12.70) CS BE ASME B36.10 ASTM A106 Gr.B",406.4,,,12.7,
"Труба бесшовная (SMLS) с фаской на концах DN 24"" Sch XS (610х12.70) CS BE ASME B36.10 ASTM A106 Gr.B",610.0,,,12.7,
"Труба бесшовная (SMLS) с фаской на концах DN 2"" Sch XS (60.33х5.54) LTCS BE ASME B36.10M ASTM A333 Gr.6",60.33,,,5.54,
"Труба бесшовная (SMLS) с фаской на концах DN 3/4"" Sch XS (26.7х3.91) LTCS BE ASME B36.10M ASTM A333 Gr.6",26.7,,,3.91,
"Труба бесшовная (SMLS) с фаской на концах DN 3"" Sch XS (88.9х7.62) LTCS BE ASME B36.10M ASTM A333 Gr.6",88.9,,,7.62,
"Труба бесшовная (SMLS) с фаской на концах DN 4"" Sch XS (114.3х8.56) LTCS BE ASME B36.10M ASTM A333 Gr.6",114.3,,,8.56,
"Труба бесшовная (SMLS) с фаской на концах DN 16"" Sch XS (406.4х12.70) LTCS BE ASME B36.10M ASTM A333 Gr.6",406.4,,,12.7,
"Труба шовная (SAW) с фаской на концах DN 30"" (762х22.23ММ) CS BE ASME B36.10 API-5L-B-PSL2",30.0,,,762.0,
"Труба шовная (SAW) с фаской на концах DN 48"" (1219х15.88ММ) CS BE ASME B36.10 API-5L-B-PSL2",48.0,,,1219.0,
